DATE,TARGET
01-05-1979,10.85271
01-06-1979,10.88957
01-07-1979,11.26332
01-08-1979,11.81818
01-09-1979,12.18045
01-10-1979,12.07154
01-11-1979,12.61128
01-12-1979,13.29394
01-01-1980,13.90922
01-02-1980,14.18234
01-03-1980,14.75645
01-04-1980,14.73088
01-05-1980,14.40559
01-06-1980,14.38451
01-07-1980,13.1327
01-08-1980,12.87263
01-09-1980,12.60054
01-10-1980,12.76596
01-11-1980,12.64822
01-12-1980,12.5163
01-01-1981,11.82519
01-02-1981,11.40684
01-03-1981,10.48689
01-04-1981,10
01-05-1981,9.779951
01-06-1981,9.5526
01-07-1981,10.76179
01-08-1981,10.80432
01-09-1981,10.95238
01-10-1981,10.14151
01-11-1981,9.590643
01-12-1981,8.922364
01-01-1982,8.390804
01-02-1982,7.622298
01-03-1982,6.779661
01-04-1982,6.50954
01-05-1982,6.681514
01-06-1982,7.064018
01-07-1982,6.441048
01-08-1982,5.850488
01-09-1982,5.042919
01-10-1982,5.139186
01-11-1982,4.589114
01-12-1982,3.829787
01-01-1983,3.711559
01-02-1983,3.488372
01-03-1983,3.597884
01-04-1983,3.898841
01-05-1983,3.549061
01-06-1983,2.57732
01-07-1983,2.461539
01-08-1983,2.558854
01-09-1983,2.860061
01-10-1983,2.851324
01-11-1983,3.265306
01-12-1983,3.790984
01-01-1984,4.192229
01-02-1984,4.596527
01-03-1984,4.800817
01-04-1984,4.563895
01-05-1984,4.233871
01-06-1984,4.221106
01-07-1984,4.204204
01-08-1984,4.291417
01-09-1984,4.270109
01-10-1984,4.257426
01-11-1984,4.051383
01-12-1984,3.948667
01-01-1985,3.532875
01-02-1985,3.515625
01-03-1985,3.703704
01-04-1985,3.685742
01-05-1985,3.77176
01-06-1985,3.760849
01-07-1985,3.554275
01-08-1985,3.349282
01-09-1985,3.142857
01-10-1985,3.22887
01-11-1985,3.51377
01-12-1985,3.798671
01-01-1986,3.886256
01-02-1986,3.113208
01-03-1986,2.255639
01-04-1986,1.590271
01-05-1986,1.491146
01-06-1986,1.765799
01-07-1986,1.576994
01-08-1986,1.574074
01-09-1986,1.754386
01-10-1986,1.471941
01-11-1986,1.284404
01-12-1986,1.097896
01-01-1987,1.459854
01-02-1987,2.1043
01-03-1987,3.033088
01-04-1987,3.775322
01-05-1987,3.856749
01-06-1987,3.652968
01-07-1987,3.926941
01-08-1987,4.284412
01-09-1987,4.355717
01-10-1987,4.533092
01-11-1987,4.528986
01-12-1987,4.434389
01-01-1988,4.046762
01-02-1988,3.942652
01-03-1988,3.925067
01-04-1988,3.90417
01-05-1988,3.890363
01-06-1988,3.964758
01-07-1988,4.130053
01-08-1988,4.020979
01-09-1988,4.173913
01-10-1988,4.249783
01-11-1988,4.2461
01-12-1988,4.419411
01-01-1989,4.667243
01-02-1989,4.827586
01-03-1989,4.978541
01-04-1989,5.123826
01-05-1989,5.361702
01-06-1989,5.169491
01-07-1989,4.978903
01-08-1989,4.705883
01-09-1989,4.340568
01-10-1989,4.492513
01-11-1989,4.655029
01-12-1989,4.647303
01-01-1990,5.202312
01-02-1990,5.263158
01-03-1990,5.233034
01-04-1990,4.711617
01-05-1990,4.361874
01-06-1990,4.67365
01-07-1990,4.823151
01-08-1990,5.617978
01-09-1990,6.16
01-10-1990,6.289809
01-11-1990,6.274821
01-12-1990,6.106265
01-01-1991,5.651491
01-02-1991,5.3125
01-03-1991,4.895105
01-04-1991,4.88751
01-05-1991,4.95356
01-06-1991,4.69592
01-07-1991,4.447853
01-08-1991,3.799392
01-09-1991,3.391108
01-10-1991,2.921348
01-11-1991,2.989537
01-12-1991,3.064275
01-01-1992,2.600297
01-02-1992,2.818991
01-03-1992,3.185185
01-04-1992,3.180473
01-05-1992,3.023599
01-06-1992,3.088235
01-07-1992,3.157122
01-08-1992,3.147877
01-09-1992,2.988338
01-10-1992,3.202329
01-11-1992,3.047895
01-12-1992,2.900653
01-01-1993,3.258508
01-02-1993,3.246753
01-03-1993,3.086863
01-04-1993,3.225806
01-05-1993,3.221188
01-06-1993,2.99572
01-07-1993,2.775801
01-08-1993,2.76792
01-09-1993,2.689313
01-10-1993,2.750353
01-11-1993,2.676056
01-12-1993,2.748414
01-01-1994,2.524544
01-02-1994,2.515723
01-03-1994,2.506964
01-04-1994,2.361111
01-05-1994,2.288488
01-06-1994,2.493075
01-07-1994,2.770083
01-08-1994,2.900553
01-09-1994,2.963474
01-10-1994,2.608099
01-11-1994,2.674897
01-12-1994,2.674897
01-01-1995,2.804378
01-02-1995,2.862986
01-03-1995,2.853261
01-04-1995,3.052917
01-05-1995,3.186441
01-06-1995,3.04054
01-07-1995,2.762803
01-08-1995,2.61745
01-09-1995,2.543507
01-10-1995,2.809365
01-11-1995,2.60521
01-12-1995,2.53841
01-01-1996,2.727878
01-02-1996,2.650762
01-03-1996,2.840158
01-04-1996,2.896642
01-05-1996,2.890933
01-06-1996,2.754098
01-07-1996,2.95082
01-08-1996,2.877698
01-09-1996,3.002611
01-10-1996,2.992843
01-11-1996,3.255208
01-12-1996,3.322476
01-01-1997,3.044041
01-02-1997,3.034216
01-03-1997,2.761721
01-04-1997,2.495202
01-05-1997,2.234994
01-06-1997,2.297384
01-07-1997,2.229299
01-08-1997,2.225048
01-09-1997,2.154626
01-10-1997,2.084649
01-11-1997,1.828499
01-12-1997,1.702396
01-01-1998,1.571339
01-02-1998,1.441103
01-03-1998,1.375
01-04-1998,1.435705
01-05-1998,1.686446
01-06-1998,1.684342
01-07-1998,1.682243
01-08-1998,1.616915
01-09-1998,1.488834
01-10-1998,1.485149
01-11-1998,1.547988
01-12-1998,1.611903
01-01-1999,1.670792
01-02-1999,1.60593
01-03-1999,1.726264
01-04-1999,2.276923
01-05-1999,2.088452
01-06-1999,1.96319
01-07-1999,2.144608
01-08-1999,2.264382
01-09-1999,2.628362
01-10-1999,2.560976
01-11-1999,2.621951
01-12-1999,2.684564
01-01-2000,2.738892
01-02-2000,3.221884
01-03-2000,3.757576
01-04-2000,3.068592
01-05-2000,3.188929
01-06-2000,3.730445
01-07-2000,3.659268
01-08-2000,3.411131
01-09-2000,3.454437
01-10-2000,3.448276
01-11-2000,3.446227
01-12-2000,3.386809
01-01-2001,3.732228
01-02-2001,3.533569
01-03-2001,2.920561
01-04-2001,3.269119
01-05-2001,3.61516
01-06-2001,3.24826
01-07-2001,2.719908
01-08-2001,2.719908
01-09-2001,2.648244
01-10-2001,2.126437
01-11-2001,1.895462
01-12-2001,1.551724
01-01-2002,1.142204
01-02-2002,1.137656
01-03-2002,1.475596
01-04-2002,1.639344
01-05-2002,1.181767
01-06-2002,1.067416
01-07-2002,1.464789
01-08-2002,1.802817
01-09-2002,1.514302
01-10-2002,2.025886
01-11-2002,2.198422
01-12-2002,2.37691
01-01-2003,2.597403
01-02-2003,2.980877
01-03-2003,3.020134
01-04-2003,2.224694
01-05-2003,2.057842
01-06-2003,2.112285
01-07-2003,2.109939
01-08-2003,2.158273
01-09-2003,2.320442
01-10-2003,2.040816
01-11-2003,1.76503
01-12-2003,1.879491
01-01-2004,1.926252
01-02-2004,1.693064
01-03-2004,1.737242
01-04-2004,2.285093
01-05-2004,3.051771
01-06-2004,3.266195
01-07-2004,2.990756
01-08-2004,2.654388
01-09-2004,2.537797
01-10-2004,3.189189
01-11-2004,3.523035
01-12-2004,3.255562
01-01-2005,2.969762
01-02-2005,3.007519
01-03-2005,3.148346
01-04-2005,3.510638
01-05-2005,2.80275
01-06-2005,2.530311
01-07-2005,3.167899
01-08-2005,3.641161
01-09-2005,4.686677
01-10-2005,4.347826
01-11-2005,3.455497
01-12-2005,3.415659
01-01-2006,3.985317
01-02-2006,3.597497
01-03-2006,3.362649
01-04-2006,3.545735
01-05-2006,4.166667
01-06-2006,4.318766
01-07-2006,4.145343
01-08-2006,3.818737
01-09-2006,2.062374
01-10-2006,1.305221
01-11-2006,1.973684
01-12-2006,2.54065
01-01-2007,2.075643
01-02-2007,2.415199
01-03-2007,2.778779
01-04-2007,2.573697
01-05-2007,2.690864
01-06-2007,2.687038
01-07-2007,2.358231
01-08-2007,1.970083
01-09-2007,2.755052
01-10-2007,3.536175
01-11-2007,4.306203
01-12-2007,4.081269
01-01-2008,4.280294
01-02-2008,4.026556
01-03-2008,3.981456
01-04-2008,3.93689
01-05-2008,4.175543
01-06-2008,5.02179
01-07-2008,5.600123
01-08-2008,5.371855
01-09-2008,4.936927
01-10-2008,3.655186
01-11-2008,1.069575
01-12-2008,0.0914129
01-01-2009,0.0298465
01-02-2009,0.2361911
01-03-2009,-0.3835562
01-04-2009,-0.7368857
01-05-2009,-1.281436
01-06-2009,-1.426776
01-07-2009,-2.097161
01-08-2009,-1.484349
01-09-2009,-1.286206
01-10-2009,-0.1828483
01-11-2009,1.838296
01-12-2009,2.721331
01-01-2010,2.625709
01-02-2010,2.143332
01-03-2010,2.313959
01-04-2010,2.236447
01-05-2010,2.020986
01-06-2010,1.053349
01-07-2010,1.235193
01-08-2010,1.148105
01-09-2010,1.143683
01-10-2010,1.172188
01-11-2010,1.143161
01-12-2010,1.495723
01-01-2011,1.631847
01-02-2011,2.107585
01-03-2011,2.681603
01-04-2011,3.163631
01-05-2011,3.568646
01-06-2011,3.558828
01-07-2011,3.628716
01-08-2011,3.771208
01-09-2011,3.868357
01-10-2011,3.5252
01-11-2011,3.394378
01-12-2011,2.962419
01-01-2012,2.925217
01-02-2012,2.871099
01-03-2012,2.651398
01-04-2012,2.30274
01-05-2012,1.704254
01-06-2012,1.663994
01-07-2012,1.408451
01-08-2012,1.692379
01-09-2012,1.991282
01-10-2012,2.162344
01-11-2012,1.764134
01-12-2012,1.741022
01-01-2013,1.594865
01-02-2013,1.977924
01-03-2013,1.473896
01-04-2013,1.063085
01-05-2013,1.361965
01-06-2013,1.754417
01-07-2013,1.960682
01-08-2013,1.518368
01-09-2013,1.184925
01-10-2013,0.9636127
01-11-2013,1.237072
01-12-2013,1.501736
01-01-2014,1.578947
01-02-2014,1.126349
01-03-2014,1.512203
01-04-2014,1.952858
01-05-2014,2.127111
01-06-2014,2.072341
01-07-2014,1.992329
01-08-2014,1.699611
01-09-2014,1.657919
01-10-2014,1.66434
01-11-2014,1.322355
01-12-2014,0.7564933
01-01-2015,-0.08934832
01-02-2015,-0.0251298
01-03-2015,-0.07363739
01-04-2015,-0.1995174
01-05-2015,-0.03993275
01-06-2015,0.1237712
01-07-2015,0.1695698
01-08-2015,0.1950793
01-09-2015,-0.03612975
01-10-2015,0.1705744
01-11-2015,0.5017976
01-12-2015,0.7295198
01-01-2016,1.373087
01-02-2016,1.0178
01-03-2016,0.8525362
01-04-2016,1.12511
01-05-2016,1.019323
01-06-2016,0.9973265
01-07-2016,0.8271388
01-08-2016,1.062875
01-09-2016,1.463784
01-10-2016,1.635988
01-11-2016,1.692537
01-12-2016,2.074622
01-01-2017,2.500042
01-02-2017,2.737958
01-03-2017,2.380612
01-04-2017,2.19969
01-05-2017,1.874878
01-06-2017,1.633488
01-07-2017,1.727978
01-08-2017,1.938974
01-09-2017,2.232964
01-10-2017,2.041129
01-11-2017,2.202583
01-12-2017,2.109082
01-01-2018,2.070508
01-02-2018,2.211795
01-03-2018,2.359711
01-04-2018,2.462744
01-05-2018,2.801012
01-06-2018,2.871548
01-07-2018,2.949515
01-08-2018,2.69918
01-09-2018,2.276972
01-10-2018,2.52247
01-11-2018,2.176601
01-12-2018,1.910159
01-01-2019,1.551235
01-02-2019,1.520135
01-03-2019,1.862523
01-04-2019,1.99644
01-05-2019,1.790228
01-06-2019,1.648485
01-07-2019,1.811465
